names,described as,image 1,image 2
"Lemele Velvet Dining Chairs, Set Of 2, Brown Sugar","['dining chairs', 'dining chairs with velvet upholstery', 'elegant dining chairs', 'upholstered dining chairs', 'velvet dining chairs']",https://st.hzcdn.com/fimgs/11d1261f0a4bd92f_7126-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/ede1671e0a2856ed_7126-w65-h65-b0-p0--.jpg
"Suri Velvet Dining Chairs, Set of 2, Black","['black', 'black dining room chair', 'dining room', 'dining room chair', 'dining room chairs', 'traditional', 'traditional dining room chair', 'traditional dining room chairs', 'velvet', 'velvet dining room chair']",https://st.hzcdn.com/fimgs/b2e118a00ae8ffdb_2139-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/de01630b0af36b94_3738-w65-h65-b1-p0--.jpg
"Danica Lounge Chair, Red","['55""', 'bamboo', 'bench', 'contemporary', 'dining bench', 'dining furniture', 'dining sets', 'eco-friendly', 'ecological', 'elegant', 'Entertaining', 'environmentally friendly', 'furniture', 'green furniture', 'handcrafted', 'hardwood', 'kitchen furniture', 'mid-century', 'midcentury', 'modern', 'natural grain', 'renewable', 'seating', 'solid bamboo', 'solid wood', 'sustainable']",https://st.hzcdn.com/fimgs/a16155360eff58e0_4918-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/bed1200b0eff58e4_4918-w65-h65-b1-p0--.jpg
"GDF Studio Lexia Classic Slate Microfiber Dining Chair, Set of 2",[],https://st.hzcdn.com/fimgs/61d1e4940f9316b8_7437-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/21019c0a0f9316b9_3590-w65-h65-b0-p0--.jpg
"Plastic Eiffel Chair With Natural Wood Dining Dowel Wooden Modern Set of 2, Oran","['accent', 'Bedroom', 'computer', 'conference', 'contemporary', 'design within reach', 'designer', 'desk', 'Dining', 'Eames', 'for', 'herman miller', 'Home', 'hotel', 'kitchen', 'light', 'living room', 'modern', 'Modern chair for dining room', 'multi', 'natural', 'office', 'Outdoor', 'plastic', 'replica', 'reproduction', 'restaurant', 'room', 'side']",https://st.hzcdn.com/fimgs/94713cea08a5ef79_4636-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/3cd1835808a5ef86_4636-w65-h65-b0-p0--.jpg
Modern-Inspired Gold and Marble Accent Chair,"['accent chair', 'accent seating', 'gold frame', 'marble', 'pattern']",https://st.hzcdn.com/fimgs/6b01a8440b18022e_9674-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/6a41bdb10b180232_0196-w65-h65-b1-p0--.jpg
"Akoya Velvet Dining Chair, Set of 2, Navy",['14021'],https://st.hzcdn.com/fimgs/20518daf0bac0ce1_8224-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/2eb1d4660bac0ce3_2661-w65-h65-b1-p0--.jpg
"GDF Studio Betsy Modern Button-Tufted Waffle Stitching Velvet Armchair, Raisin",[],https://st.hzcdn.com/fimgs/cda1c9180f931b7a_3749-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/6711b6080f931b7c_3653-w65-h65-b0-p0--.jpg
"Porsha Dining Chair, Set of 2, Black Velvet, Gold Legs","['black', 'channel tufted design on back', 'comfortable', 'contemporary', 'dining chair', 'gold', 'luxurious', 'luxurious black velvet', 'meridian furniture', 'modern', 'nice', 'porsha', 'porsha black velvet dining chair', 'rich gold metal legs', 'set of 2', 'sturdy', 'velvet']",https://st.hzcdn.com/fimgs/43a1f2e80dd70513_9573-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/c9813fa30dd70518_2824-w65-h65-b0-p0--.jpg
"Montalto Pin-Tuck Lift Chair, Saville Brown","['brown', 'saville']",https://st.hzcdn.com/fimgs/f691c1a0079a2422_7713-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/fbf1ebce079a2427_7713-w65-h65-b1-p0--.jpg
"Omax Decor Zola Lounge Chair, Brown/Walnut","['accent chair', 'beige', 'blue', 'brown chair', 'comfortable chair', 'Danish', 'decor', 'fabric chair', 'gold', 'gray', 'green', 'grey', 'leather chair', 'living room chair', 'lounge chair', 'mid century chair', 'mint', 'mocha', 'modern', 'oak', 'orange', 'purple', 'Scandinavian', 'upholstered chair', 'velvet', 'velvet chair', 'walnut', 'wood chair', 'Z chair']",https://st.hzcdn.com/fimgs/fe2159ae0ba2f528_3035-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/4bc12e8d0ba2f52d_6254-w65-h65-b1-p0--.jpg
"Rosco Velvet Accent Chair, Charcoal","['charcoal chair', 'FOAM CHAIR', 'home accent', 'home decor', 'plywood frame chair', 'rc850acc', 'solid wood chair', 'Steve Silver', 'velvet fabric chair']",https://st.hzcdn.com/fimgs/2f017e750f283d65_3642-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/5051853d0f283d69_3642-w65-h65-b1-p0--.jpg
"Aniline Leather Lounge Chair and Ottoman, Black, Base Palisander","['eames chair', 'eames inspired lounge chair', 'Eames Lounge Chair', 'eames lounge chair replica', 'eames lounge chair reproduction', 'Eames Replica', 'Eames Style Lounge Chair', 'herman miller eames lounge chair']",https://st.hzcdn.com/fimgs/22017fff0ef2282c_6337-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/659199710ef2282f_7180-w65-h65-b1-p0--.jpg
"Heidi Velvet Dining Chairs, Set of 2, Black","['accent chair', 'beige', 'Best', 'black', 'chair', 'contemporary', 'contemporary chair', 'cream', 'grey', 'meridian', 'meridian furniture', 'modern', 'nailhead chair', 'navy', 'pink', 'sky blue', 'transitional', 'tufted chair', 'velvet', 'velvet chair']",https://st.hzcdn.com/fimgs/98c16ab80ae8ffb7_1610-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/8b7179170ae8ffb9_2166-w65-h65-b1-p0--.jpg
"Amy Swivel Accent Chair, Coastal Tan","['accent chairs', 'comfortable', 'comfy chair', 'furniture', 'living room chair', 'living room furniture', 'quality', 'seating', 'small chair', 'stylish', 'swivel chair', 'swivel glide', 'swivel glider recliner', 'swivels', 'turning chair', 'upholstered', 'upholstery']",https://st.hzcdn.com/fimgs/504198490e910009_1656-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/42d13a110e910040_1656-w65-h65-b0-p0--.jpg
"GDF Studio Evelyn Mid Century Modern Fabric Arm Chair, Dark Gray/Walnut",[],https://st.hzcdn.com/fimgs/42a113120f906eb9_1813-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/1fb1813e0f906eba_3649-w65-h65-b0-p0--.jpg
"Nikki Velvet Dining Chairs, Set of 2, Navy","['beautiful', 'Best', 'comfortable', 'contemporary', 'dining chairs', 'modern', 'set of Dining Chairs', 'transitional', 'transitional dining chair set', 'transitional dining chairs', 'tufted', 'velvet', 'velvet dining chair set', 'velvet dining chairs', 'wood', 'wooden dining chair set', 'wooden dining chairs']",https://st.hzcdn.com/fimgs/46e12cae0db1c272_7309-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/af81daab0db1c274_7403-w65-h65-b1-p0--.jpg
"High Wingback Linen Armchair, Purple","['accent chair', 'accent chairs tufted nailhead chair', 'classic chair', 'club chair', 'high back chair', 'leather armchair', 'leather chair leather wingback chair', 'linen chair', 'living lounge chair', 'living room chair', 'modern chair', 'nailhead chair', 'recliner chairs', 'relax chair', 'tufted chair', 'velvet chair', 'wingback chair']",https://st.hzcdn.com/fimgs/b3a1b3160f27b2df_0488-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/25b18d4e0f27b2e9_0488-w65-h65-b1-p0--.jpg
"Xavier Velvet Dining Chair, Gray, Gold Legs","['black', 'chrome', 'chrome steel legs', 'comfortable', 'contemporary', 'contemporary design', 'dining chair', 'luxurious', 'meridian furniture', 'modern', 'nice', 'rich black velvet', 'sturdy', 'velvet', 'xavier', 'xavier black velvet dining chair']",https://st.hzcdn.com/fimgs/1c610f4f0dd70537_5851-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/d5c117280dd7053b_2877-w65-h65-b1-p0--.jpg
"Karina Velvet Dining Chairs, Set of 2, Gray, Gold Base","['accent chair', 'beige', 'Best', 'black', 'chair', 'contemporary', 'contemporary chair', 'cream', 'grey', 'meridian', 'meridian furniture', 'modern', 'nailhead chair', 'navy', 'pink', 'sky blue', 'transitional', 'tufted chair', 'velvet', 'velvet chair']",https://st.hzcdn.com/fimgs/c201100b0ae8ffea_2176-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/df91051c0ae8ffec_2176-w65-h65-b1-p0--.jpg
"X Base Trestle Dining Table With Extension 88-110""","['cross base trestle dining table', 'distressed wood dining room table', 'railroad tie dining table', 'rustic dining table', 'rustic farm extension table', 'Rustic Farm Table', 'rustic farmhouse dining table', 'rustic trestle dining table', 'trestle style rustic dining table', 'x base dining table', 'x base trestle dining room table']",https://st.hzcdn.com/fimgs/a861973204dd46e1_9945-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/e4912d0805e4be62_9945-w65-h65-b0-p0--.jpg
Concorde Dining Table,"['036155311135', 'bassett mirror', 'bassett mirror company dining tables>dining tables', 'bassett mirror concorde dining table - d2074-701b-tec', 'chrome and glass dining table', 'chrome base dining table', 'd2074701btec on sale for cheap', 'dining room furniture', 'dining room table', 'dining table', 'dining tables', 'discount', 'free shipping', 'glass top dining table', 'round table', 'table', 'thoroughly modern']",https://st.hzcdn.com/fimgs/f021e6aa0afb6e5e_8528-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/9121da430afb6e5f_8528-w65-h65-b1-p0--.jpg
Abby 63-inch Dining Table,"['contemporary dining table', 'dining table', 'lacquer dining table', 'minimalist dining table', 'white dining table']",https://st.hzcdn.com/fimgs/08c1b4b108c2fb14_9655-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/379181dd08c2fb16_9655-w65-h65-b1-p0--.jpg
"GDF Studio Evelyn Mid Century Modern Fabric Arm Chair, Beige/Walnut",[],https://st.hzcdn.com/fimgs/c1c1adee0f9082cf_1739-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/ffb1f4a90f9082d2_3629-w65-h65-b0-p0--.jpg
"Giselle Velvet Dining Chairs, Set of 2, Pink, Gold Base","['accent chair', 'armless', 'Dining', 'elegant', 'metal', 'modern', 'traditional', 'upholstered', 'velvet']",https://st.hzcdn.com/fimgs/38f195490ae8fffe_9568-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/b6b1b8190ae90000_7498-w65-h65-b1-p0--.jpg
Divani Casa Joseph Modern Orange Fabric Accent Chair,"['accent chair', 'metal', 'orange', 'upholstered', 'velour']",https://st.hzcdn.com/fimgs/9c5108170b48767c_1482-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/52b102b70b48767e_1482-w65-h65-b1-p0--.jpg
Delfina White Dining Table,"['affordable modern dining table', 'best modern dining room tables', 'best modern dining table', 'best modern dining table sets', 'best modern dining tables', 'best modern extendable dining table', 'big modern dining table', 'Black Modern Dining Table', 'buy modern dining table', 'cheap modern dining table', 'dining table']",https://st.hzcdn.com/fimgs/fe81c40c08e6d483_2696-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/2c91f6df08e6d484_2696-w65-h65-b0-p0--.jpg
"Milano Dining Chair, Gray","['black and white', 'contemporary', 'cream', 'curved', 'curved chair', 'Dining', 'dining chair', 'dining chairs', 'dining room', 'eggshell', 'leather', 'metal', 'modern', 'off white', 'white']",https://st.hzcdn.com/fimgs/93e111e00b96937f_2677-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/c01175b40b884c18_4820-w65-h65-b0-p0--.jpg
Edna Concrete Veneer Table - Washed Gray,"['furniture', 'home decor_cor', 'table', 'tov furniture']",https://st.hzcdn.com/fimgs/3211131f0c100657_5488-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/9ae101140c100658_5488-w65-h65-b0-p0--.jpg
Samuel Lawrence Prospect Hill Extendable Pedestal Dining Table in Gray,['round table glass'],https://st.hzcdn.com/fimgs/5de1b74d09853196_6767-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/cbe1a16f09853197_6767-w65-h65-b0-p0--.jpg
"Sunset Trading Cottage Narrow Side Table, Limewash CC-TAB1792TLD-BHLW","['bahama with lime wash top side table', 'cc-tab1792tld-bhlw', 'home accent', 'home decor', 'mahogany side table', 'sunset trading']",https://st.hzcdn.com/fimgs/94a1e1050fd2a157_0901-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/f4a18f330fd2a1b1_4747-w65-h65-b1-p0--.jpg
