names,described as,image 1,image 2,url
"Hudson 72"" Square Dining Table, Textured Coffee","['brown dining table', 'brown table', 'dining table', 'dining table for 8', 'hudson dining table', 'Mandalay', 'mandalay furniture', 'mandalay home furniture', 'sits up to 8']",https://st.hzcdn.com/fimgs/c031f65a0a8da8e3_6918-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/5d512bbd0a42bea5_6918-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/hudson-72-square-dining-table-textured-coffee-prvw-vr~109280441
"Bennet 48""x48"" Table, 1 Leaf, Rustic Cherry Wood, Extendable Dining Table","['1 leaf table', '48x48 dining room table', '48x48 dining table', '66x48 table', 'dining room table', 'dining table', 'dining tables', 'dinner table', 'extendable dining room table', 'extendable dining table', 'metal base dining room table', 'metal trestle table base', 'rustic wood dining table', 'solid wood dining table', 'square', 'tables', 'wood dining tables']",https://st.hzcdn.com/fimgs/9da129210b3c230e_5653-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/2fe140bb0b3c2328_7818-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/bennet-48x48-table-1-leaf-rustic-cherry-wood-extendable-dining-table-prvw-vr~122627626
"Lauren Dining Table, Walnut","['Artisan furniture', 'Chic', 'classic modern', 'contemporary furniture', 'extension dining table', 'furniture', 'modern', 'modern furniture', 'rectangle dining table', 'sculptural', 'seats up to 12', 'stylish', 'unique', 'unique designs', 'walnut', 'wenge', 'wood', 'wood dining table', 'wood veneer']",https://st.hzcdn.com/fimgs/74d134ac0877fa28_2772-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/35111f520877fa28_2772-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/lauren-dining-table-walnut-prvw-vr~79078331
Modrest Mear Modern Concrete Dining Table,"['concrete dining table', 'concrete table', 'Dining', 'dining table', 'table']",https://st.hzcdn.com/fimgs/23b1e7370a1c650c_5710-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/b641e6dd0a1c650a_5710-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/modrest-mear-modern-concrete-dining-table-prvw-vr~63988247
Haussmann� Wood Twist End Table 15 x 15 x 20 inch High Walnut Oil,"['display stand', 'eco friendly finish', 'end table', 'functional art', 'side table', 'sustainable wood', 'twist end table', 'twist stool twisty', 'wood end table', 'wood end-table', 'wood side table', 'wood side-table']",https://st.hzcdn.com/fimgs/bbf1a4980e7805f7_9809-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/255133d50e7805f9_9809-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/haussmann%EF%BF%BD-wood-twist-end-table-15-x-15-x-20-inch-high-walnut-oil-prvw-vr~12926460
"24''x42'' Rectangular Black Laminate Table Top,23.5''x29.5'' Table Height Base",['flash furniture xu-blktb-2442-t2230-gg rectangular black tab'],https://st.hzcdn.com/fimgs/bef1144c0e580c9c_8310-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/dc9136b20e580c9e_8310-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/24-x42-rectangular-black-laminate-table-top-23-5-x29-5-table-height-base-prvw-vr~131248247
"American Hand Crafted Rustic Dining Table, ""Guilford"" Rustic Round Table","['ROUND RUSTIC DINING TABLE', 'rustic dining table', 'rustic round dining table']",https://st.hzcdn.com/fimgs/ce719e3c091b0edd_2380-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/4311c95008dd23c5_2380-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/american-hand-crafted-rustic-dining-table-guilford-rustic-round-table-prvw-vr~89297061
Expandable White Dining Table,"['contemporary dining table', 'dining room table', 'dining table', 'expandable dining table', 'expandable white dining table', 'extending table', 'modern', 'modern dining table', 'white dining table']",https://st.hzcdn.com/fimgs/20e1fda605916cb7_2500-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/4541947a058d8c85_2500-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/expandable-white-dining-table-prvw-vr~32782950
"Faux White Marble Tulip Dining Table, Oval, Glam Gold Table, 54""","['78"" oval dining table', 'glam dining table', 'glamorous regency table', 'gold dining table', 'kitchen table', 'luxe dining table', 'Mid Century Dining Table', 'modern dining table', 'oval dining table', 'Oval Marble Dining Table', 'Saarinen dining table', 'Saarinen oval dining table', 'tulip dining table', 'white dining table', 'white marble dining table']",https://st.hzcdn.com/fimgs/0151e49c0dc9b472_0909-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/5c9164b10dc9b46f_5327-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/faux-white-marble-tulip-dining-table-oval-glam-gold-table-54-prvw-vr~151313100
"Faux White Marble Tulip Dining Table, Oval, Glam Gold Table, 60""","['78"" oval dining table', 'glam dining table', 'glamorous regency table', 'gold dining table', 'kitchen table', 'luxe dining table', 'Mid Century Dining Table', 'modern dining table', 'oval dining table', 'Oval Marble Dining Table', 'Saarinen dining table', 'Saarinen oval dining table', 'tulip dining table', 'white dining table', 'white marble dining table']",https://st.hzcdn.com/fimgs/a0d1b4320dc9b4ff_0909-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/2ae197110dc9b4fb_5335-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/faux-white-marble-tulip-dining-table-oval-glam-gold-table-60-prvw-vr~151313101
